,lh.01-1,rh.01-1,lh.02-1,rh.02-1,lh.03-1,rh.03-1,lh.04-1,rh.04-1,lh.05-1,rh.05-1,lh.06-1,rh.06-1,lh.06-2,rh.06-2,lh.07-1,rh.07-1,lh.07-2,rh.07-2,lh.07-3,rh.07-3,lh.08-1,rh.08-1,lh.08-2,rh.08-2,lh.08-3,rh.08-3,lh.09-1,rh.09-1,lh.10-1,rh.10-1,lh.11-1,rh.11-1,lh.12-1,rh.12-1,lh.12-2,rh.12-2,lh.12-3,lh.13-1,rh.13-1,lh.13-2,rh.13-2,rh.13-3,rh.13-4,lh.14-1,rh.14-1,lh.15-1,rh.15-1,lh.16-1,rh.16-1,lh.16-2,rh.16-2,lh.16-3,rh.16-3,lh.16-4,rh.16-4,lh.17-1,rh.17-1,lh.17-2,rh.17-2,lh.17-3,rh.17-3,lh.17-4
lh.06-1,-0.08463372404226989,-0.035720222960779695,-0.023796431071156646,-0.06621252222034035,0.17751491515883072,0.09446207522092159,0.1805622790799668,0.13405915491751505,0.2830768016988023,0.22812832661133622,1.0,0.6931078838208811,0.290786237323322,0.3098679818463239,0.2270340624141916,0.2450307872602036,0.21711764581822274,0.2460866367643193,0.3696115426662416,0.3950754821052063,-0.030368795570732,-0.03505280231531868,0.03614266803749022,0.09008870780499113,-0.12386785349388568,-0.07941128571540927,-0.06790852127872854,-0.09646209519039446,-0.18410022791704322,-0.1472268401098218,-0.15081594948397445,-0.22384241979964817,-0.0643114070903726,-0.09674583258900118,0.12726913998555306,0.2208455001017914,-0.00476312409775016,-0.16246027974216745,-0.189019295358019,-0.10828654663955699,-0.17510669422478628,-0.14725082312277307,-0.15830075560251583,-0.14416282593769503,-0.144576432858059,-0.07491020152375824,-0.14073339829683643,-0.2248576612888659,-0.19490043091997256,-0.27444130927262905,-0.3515021614557477,-0.14669148532579196,-0.26686480218731856,-0.2442349325853525,-0.2578318797361621,-0.25079251039334627,-0.2771017852478827,-0.0838439636542903,-0.07345197764335476,-0.08326599939437876,-0.015719806590801525,-0.1447657080355022
rh.06-1,-0.03146065809146384,0.03681378421014683,-0.0730488016688971,-0.1083452504535413,0.1718364316231093,0.20407431570497556,0.10714512753758462,0.07016487127990714,0.36703266296263404,0.436738064144604,0.6931078838208811,1.0,0.3504929306617149,0.46165451903473537,0.14786317152826087,0.3526531393776817,0.20719124515000234,0.2981855432114275,0.38250119466499133,0.5329760929389908,-0.05244576325825404,-0.038069867744722714,0.009540710700103929,0.015263555630205055,-0.19348637797477272,-0.0634705513054447,-0.050263461920200335,-0.06640586393696027,-0.26906431585466134,-0.21278887193146429,-0.1708690200308443,-0.20288383215432193,-0.11826518679461859,-0.020387029844345688,0.03939769641002148,0.12463081388656672,0.011113755017582473,-0.29827851772469477,-0.28077647710318376,-0.2337180464113935,-0.26063315294234823,-0.2070168398882076,-0.17791795407067376,-0.15401651185135265,-0.10678447861796643,-0.04185300862835458,-0.09347279595178672,-0.3400108824547461,-0.30306593169250573,-0.3524056214594373,-0.3668618585081313,-0.253942986490891,-0.2400774439931834,-0.30111094139767786,-0.27401522866081635,-0.2939308168825334,-0.3011964232960708,-0.18902828745338057,-0.17174209275693644,-0.20684240075817606,-0.10964032349005455,-0.23040409967543948
lh.06-2,-0.07703516463775949,-0.049187389055341216,-0.1270982716470474,-0.17041190992947744,0.23703654151008247,0.16048843795314607,0.12690333957000843,0.07043192089390315,0.20129248176926015,0.13384050831605745,0.290786237323322,0.3504929306617149,1.0,0.4621397355251679,0.22928212243341833,0.33103619045566984,0.26715053792638777,0.19137148851789582,0.34320417333401876,0.32137934852403643,0.011749042652358122,0.01306860096477443,0.04981734022505886,0.02497280625985032,0.04339440025616955,0.0932465756530846,-0.04137602571479656,-0.02318263283470782,-0.18581658019973862,-0.23130122584473425,-0.13945813423407397,-0.18834579321721878,0.14599193056316756,0.06194893685763667,0.014206234812410843,-0.06585346175835027,0.07964229159426651,-0.16229122020983797,-0.25044910580885044,-0.1032473521372161,-0.06684015398999184,-0.2578709897537685,-0.21638528740421648,0.1555392072146707,0.025058879307606776,-0.0845580411845745,-0.1379166494928823,-0.24423766746043432,-0.20056590453482395,-0.30811869189977314,-0.30910127466588366,-0.16434092428855734,-0.2074538376971955,-0.18322409892506566,-0.2402886296498599,-0.1272495990201976,-0.12924633287931128,-0.12741198995366046,-0.19061537386547592,-0.06055051094864482,-0.12256115503342688,-0.020266920194575194
rh.06-2,-0.03795019749513317,-0.001363322382317692,-0.0944094839660859,-0.04618233837231228,0.19415672353759011,0.3119815906447097,0.11285471420980633,0.07469245652336973,0.250114392524874,0.2716096802135505,0.3098679818463239,0.46165451903473537,0.4621397355251679,1.0,0.15943957145735213,0.36269628621082306,0.23729791658590738,0.22032098680228185,0.2476776642636113,0.3061861249450045,-0.07436256223377673,-0.033659799688173585,-0.04318273394824387,-0.05573024285600309,-0.09081037341117408,-0.0009413390039538243,0.002009883186230639,-0.0197232480638422,-0.16600166238490527,-0.16646288197195966,-0.14596740560022547,-0.12804426063143415,-0.031355960219752545,0.07722813372221375,-0.1094308602630871,-0.034554963303657,0.0023157362765411815,-0.26995456664121914,-0.2782687871793028,-0.23941669399815138,-0.19882884480769727,-0.2537450265549857,-0.31065650858190436,0.14043760505937863,0.087679006641699,-0.11317305281522888,-0.08477624053946625,-0.3166884375382309,-0.2489573382251924,-0.27754117971544917,-0.24525728752239373,-0.22090386854435784,-0.1336306657697162,-0.23742552860925734,-0.23177182827651988,-0.1593537944237364,-0.1381286986828912,-0.2874883996869292,-0.21027697506143753,-0.22319593265578108,-0.13005776461760202,-0.16976521102605657
lh.07-1,-0.33364783869380527,-0.28414536292362547,0.030660930487735195,0.03759659639483277,0.2340961331323062,0.12430906005594165,0.5013426368698004,0.3908323547021543,-0.21766583430541755,-0.2453442954244733,0.2270340624141916,0.14786317152826087,0.22928212243341833,0.15943957145735213,1.0,0.5213629270125906,0.5126549294736499,0.6412733749561398,0.5699531981377678,0.4703856140956252,0.2910331103017268,0.2961131024862684,0.5489179375888246,0.4521911578833926,0.37077785439815697,0.35202321827261546,-0.11010270404279135,-0.17324840971406888,-0.04477561135019806,-0.052093664309983426,0.009392915127940138,-0.028386278121119483,0.022012883528014733,-0.15506390942979878,-0.005782438266638063,-0.07577665626703572,-0.009691391680493627,-0.053395071289767074,-0.10733281441769642,0.006953457537627317,-0.11701248876078565,-0.08292527473993173,-0.19208985712421736,0.017998240113309194,-0.05756164834889392,-0.08995273739346159,-0.1264096571866202,-0.0003085211402754094,0.04147088620565751,-0.26713006967607433,-0.25236569617253385,-0.08357621212858353,-0.3423597366917482,-0.32357523098309504,-0.21233511810319375,-0.3036736293318404,-0.3131113690694001,-0.11076601584414314,-0.10231979780669742,0.030719619136161676,0.05879351410719283,-0.21612956207470252
rh.07-1,-0.28816625316891004,-0.2471657029336148,0.10899194177022593,0.11944086154443564,0.31694350613514943,0.2872255018469001,0.3909980750558233,0.3447667757350516,-0.08242791970059599,-0.0787633329847983,0.2450307872602036,0.3526531393776817,0.33103619045566984,0.36269628621082306,0.5213629270125906,1.0,0.6699880008310363,0.5793726090930362,0.5283727157907665,0.5334547910095279,0.24085678160366317,0.2892895291063718,0.30790298135665156,0.32477309196002574,0.2493110870897705,0.3086322747428322,0.02739449327878241,-0.022395635172715908,-0.1532481509304281,-0.09867040137891672,-0.06724367119216837,-0.04914407362974483,-0.10612594340535306,-0.12431834202181449,-0.13365626040703935,-0.14048556251253322,-0.11141720967830442,-0.19021121730180443,-0.21295607901472946,-0.16579004478120288,-0.1835929456279,-0.23353281825518432,-0.2870762048837334,-0.003039957553518957,0.01159703279340331,-0.09285242112201311,-0.1425385204474727,-0.16805116858512203,-0.09010977288340376,-0.3872437640257414,-0.31540865374303123,-0.14848416372080514,-0.3671605299720921,-0.42286294722316387,-0.1951086057353011,-0.27171472122605606,-0.23274509460264772,-0.19623833093480514,-0.14649699958567228,-0.10789502164555424,-0.06982282324738937,-0.28463617139273095
lh.07-2,-0.36606469921710566,-0.3610355337393527,0.13901125544112117,0.12855029598651171,0.3607123353468973,0.178005089888224,0.41172524607734656,0.3615783407171358,-0.17196737532354628,-0.21485881856592792,0.21711764581822274,0.20719124515000234,0.26715053792638777,0.23729791658590738,0.5126549294736499,0.6699880008310363,1.0,0.4778234916445966,0.46044559040494365,0.4148600650064167,0.25093123371416726,0.25604109742937964,0.3404389875826273,0.3073407908856001,0.2541019452943374,0.24830707197131005,0.05100949771363932,-0.01690274972528339,-0.09681916182849555,-0.084104371598129,0.012440046319329948,-0.019743771097928058,-0.03649267762438943,-0.1700527609149945,-0.07598572280831385,-0.10474686126635398,-0.09093980019671195,-0.07900952131004388,-0.12944504143408456,-0.03060047776929431,-0.07821466206409716,-0.11760159863767766,-0.19385075093898324,0.028583052267582097,-0.017947853391876274,-0.09117516349105245,-0.11457555452093324,-0.06121643067224887,0.007912959427235383,-0.2592312917371403,-0.21555810726166807,-0.04552315346249845,-0.2709875725411503,-0.2924259964749797,-0.09453678735992965,-0.18537879979916466,-0.15065736575648836,-0.07142213315873766,-0.060236261197893944,0.02727475636129404,0.025085285281598965,-0.1737699206272422
rh.07-2,-0.32567970202398105,-0.2741509446397455,0.08162437996598353,0.07006819024374168,0.19644895716625077,0.19399284007934367,0.3702629731479699,0.3768758376960065,-0.19338756904000742,-0.17395839923212372,0.2460866367643193,0.2981855432114275,0.19137148851789582,0.22032098680228185,0.6412733749561398,0.5793726090930362,0.4778234916445966,1.0,0.5377254863323221,0.5534121256698633,0.2552665559024072,0.2978279814229483,0.4465441104275099,0.4315828521322616,0.25532955720430656,0.2463205079812034,-0.038064585440004815,-0.04692637588087635,-0.060356255333396704,0.02396416182746854,-0.0047957539901228,-0.003629185665798107,-0.17117913834814655,-0.12427788690398267,-0.09501548876431086,-0.03033439766403881,-0.11630925089753973,-0.12606737160401155,-0.09301513475959153,-0.08024483474437201,-0.14930383893678914,-0.04868257714973242,-0.20962871889935705,-0.11670934760239504,-0.037576121955232016,-0.041128499816854694,-0.06701804384158892,-0.05905538053303055,0.023079187617735704,-0.2718543829823925,-0.2351175920453926,-0.15310506169242763,-0.33835921267557667,-0.39546549610282306,-0.15907388937862207,-0.2846089424518911,-0.20428425957478377,-0.17275606050697184,-0.0896990963140592,-0.05894250026004863,0.07742395753771418,-0.28294642818157495
lh.07-3,-0.19677013981555855,-0.14239152320990858,-0.02920129841117635,-0.034760253165242366,0.07140929503310227,0.008877338380845647,0.2743770021169785,0.14436908940332932,-0.00837089220350475,-0.037752661993494925,0.3696115426662416,0.38250119466499133,0.34320417333401876,0.2476776642636113,0.5699531981377678,0.5283727157907665,0.46044559040494365,0.5377254863323221,1.0,0.6869665321365483,0.25420092968760405,0.288364372364003,0.2587532055379239,0.27493666761568425,0.14955186856387712,0.2211223894939915,0.007153970792254216,0.007129057253523673,-0.186976201879703,-0.11616951035679302,0.011835415360190091,-0.006182700196661663,-0.043298406374259434,-0.11214806899112123,0.012966144239926798,-0.018103547604906553,0.01184876805843194,-0.17380850787624935,-0.16702581391271595,-0.00306924223091797,-0.10623414495472557,-0.07765132144712807,-0.26045634107797044,-0.009304923534195238,-0.013442258887335898,-0.1377335365035125,-0.1862848813648762,-0.15871740463800083,-0.11709536604910976,-0.33214375227005744,-0.3171854044922923,-0.12870467769280935,-0.30033721627639093,-0.31101589072909075,-0.2560625919430355,-0.2690224717814402,-0.18932664835995652,-0.17555219081417966,-0.14469592155062397,-0.03681477969824077,-0.08411264800526849,-0.17130188363969995
rh.07-3,-0.14456572960695802,-0.0704519167748235,-0.021835191312658448,-0.03736774025095174,0.11178569528184996,0.009077911414399712,0.24785319850407883,0.1947892933415378,0.05190476465820409,0.0976003352492165,0.3950754821052063,0.5329760929389908,0.32137934852403643,0.3061861249450045,0.4703856140956252,0.5334547910095279,0.4148600650064167,0.5534121256698633,0.6869665321365483,1.0,0.16493756355891284,0.24481517967274627,0.20750930191309422,0.2811608578457838,0.06251765112036149,0.18115269241862098,-0.007149312168948571,0.013220349060751129,-0.18003653312967416,-0.13257326451783272,-0.06342290136489058,-0.0421862623719955,-0.15803929423639318,-0.06370450035576655,-0.0828162185939314,-0.03999157064433597,-0.10530629471286011,-0.23999750938241296,-0.2048507110845055,-0.18195905898672818,-0.16513871508596892,-0.1604149708148209,-0.2924607979905637,-0.10883911049286628,-0.00027178094128752384,-0.07938199218895937,-0.19711831146835154,-0.2070625256176464,-0.15666638784696166,-0.35687770722266493,-0.3154141959583859,-0.2046252754965781,-0.32783558801806567,-0.3810294582833484,-0.23426945938943977,-0.2973308649516883,-0.20499270127879154,-0.18742822919997928,-0.1450259788549783,-0.1337693992230316,-0.049172430473165635,-0.22183598684329686
